"Player","Team","Position","DK","FD","Std","Half","Full","DK Ceiling","FD Ceiling"
"Josh Allen","BUF","QB","26.0","24.5","24.5","24.5","24.5","37.9","35.2"
"Stefon Diggs","BUF","WR","22.6","17.8","13.9","17.8","21.7","38.7","30.8"
"Joe Burrow","CIN","QB","22.3","21.0","21.0","21.0","21.0","33.2","30.7"
"Christian McCaffrey","SF","RB","22.1","19.0","16.9","19.0","21.0","36.8","31.7"
"Ja'Marr Chase","CIN","WR","21.3","16.7","13.1","16.7","20.4","36.9","29.1"
"Dak Prescott","DAL","QB","20.8","19.6","19.6","19.6","19.6","31.5","29.1"
"CeeDee Lamb","DAL","WR","20.4","16.2","12.8","16.2","19.5","35.9","28.5"
"Amon-Ra St. Brown","DET","WR","20.0","15.4","11.6","15.4","19.2","34.6","26.6"
"Austin Ekeler","LAC","RB","19.6","16.3","13.8","16.3","18.8","32.9","27.8"
"Keenan Allen","LAC","WR","19.5","15.0","11.4","15.0","18.7","34.2","26.4"
"Geno Smith","SEA","QB","19.5","18.3","18.3","18.3","18.3","29.8","27.4"
"Justin Herbert","LAC","QB","19.4","18.2","18.2","18.2","18.2","29.6","27.2"
"Lamar Jackson","BAL","QB","19.2","18.1","18.1","18.1","18.1","30.4","28.3"
"Breece Hall","NYJ","RB","19.0","16.2","14.5","16.2","17.9","31.9","27.3"
"Jonathan Taylor","IND","RB","18.8","16.2","14.6","16.2","17.8","31.6","27.2"
"Brock Purdy","SF","QB","18.7","17.7","17.7","17.7","17.7","29.2","26.9"
"Tony Pollard","DAL","RB","18.5","16.1","14.5","16.1","17.6","31.9","27.7"
"Sam Howell","WAS","QB","19.0","17.6","17.6","17.6","17.6","29.1","26.6"
"Jared Goff","DET","QB","18.7","17.5","17.5","17.5","17.5","28.6","26.1"
"Josh Jacobs","LV","RB","17.9","15.3","13.6","15.3","17.0","29.7","25.3"
"Trevor Lawrence","JAX","QB","18.0","16.9","16.9","16.9","16.9","27.7","25.6"
"Baker Mayfield","TB","QB","18.0","16.9","16.9","16.9","16.9","27.7","25.6"
"Alvin Kamara","NO","RB","17.5","14.4","11.9","14.4","16.8","29.5","24.5"
"C.J. Stroud","HOU","QB","17.6","16.5","16.5","16.5","16.5","27.5","25.3"
"Joshua Dobbs","MIN","QB","17.3","16.5","16.5","16.5","16.5","27.0","25.5"
"Kyler Murray","ARI","QB","17.3","16.4","16.4","16.4","16.4","27.0","25.4"
"Russell Wilson","DEN","QB","17.3","16.4","16.4","16.4","16.4","27.2","25.5"
"Travis Etienne","JAX","RB","17.1","14.4","12.6","14.4","16.2","28.9","24.6"
"Joe Mixon","CIN","RB","16.8","14.3","12.6","14.3","16.1","28.9","24.9"
"Adam Thielen","CAR","WR","16.6","12.6","9.3","12.6","15.9","29.3","22.2"
"Taylor Heinicke","ATL","QB","16.8","15.8","15.8","15.8","15.8","26.2","24.3"
"Aaron Jones","GB","RB","16.2","13.7","12.0","13.7","15.5","28.1","23.9"
"Brandon Aiyuk","SF","WR","16.2","12.9","10.4","12.9","15.5","30.9","24.5"
"Bijan Robinson","ATL","RB","16.1","13.7","12.1","13.7","15.3","28.2","24.2"
"James Cook","BUF","RB","15.9","13.7","12.2","13.7","15.1","28.3","24.5"
"DeAndre Hopkins","TEN","WR","15.6","12.4","9.8","12.4","15.0","29.2","23.0"
"Michael Pittman","IND","WR","15.5","11.8","8.7","11.8","14.9","28.1","21.3"
"Christian Kirk","JAX","WR","15.2","11.8","9.0","11.8","14.6","28.1","21.8"
"Derek Carr","NO","QB","15.6","14.6","14.6","14.6","14.6","24.6","22.6"
"Marquise Brown","ARI","WR","15.1","11.8","9.0","11.8","14.5","27.9","21.8"
"Tyler Lockett","SEA","WR","15.1","11.9","9.3","11.9","14.5","28.4","22.4"
"DK Metcalf","SEA","WR","15.1","12.1","9.6","12.1","14.5","29.2","23.3"
"Rachaad White","TB","RB","15.2","12.5","10.5","12.5","14.5","26.1","21.9"
"Tyson Bagent","CHI","QB","15.1","14.4","14.4","14.4","14.4","24.0","23.0"
"Jahmyr Gibbs","DET","RB","15.0","12.4","10.5","12.4","14.4","26.4","22.4"
"Tank Dell","HOU","WR","15.0","12.1","9.9","12.1","14.4","28.1","22.7"
"Javonte Williams","DEN","RB","15.0","12.9","11.4","12.9","14.3","26.4","22.7"
"Mac Jones","NE","QB","15.2","14.3","14.3","14.3","14.3","24.1","22.3"
"Saquon Barkley","NYG","RB","15.1","12.7","11.0","12.7","14.3","25.5","21.3"
"Kenneth Walker","SEA","RB","15.1","13.3","12.4","13.3","14.3","27.0","23.8"
"Mike Evans","TB","WR","14.9","12.0","9.8","12.0","14.3","28.8","23.1"
"Will Levis","TEN","QB","15.2","14.3","14.3","14.3","14.3","24.1","22.4"
