Contest_ID,QB,RB,WR,WR/TE,FLEX,,Sport: Football
,,,,,,,Contest Type: Classic
,,,,,,,Game Slate: Sun 11/12 1:00 PM ET (10 Events)

,,,,,,,Instructions:
,,,,,,,SCROLL RIGHT FOR YOUR CONTEST ID LIST
,,,,,,,1. Create lineups by filling out the Contest_ID and position columns to the left.
,,,,,,,2. Each row represents a single entry.
,,,,,,,"3. To build an entry, select the Contest ID for the contest you would like to enter (provided to the right) and place it in the Contest_ID column."
,,,,,,,4. Complete the entry by placing the unique ID for each card (provided below) into a corresponding position column.
,,,,,,,5. Export this file as a CSV and re-upload it into Reignmakers at: https://www.draftkings.com/nftgames/bulkentry/upload
,,,,,,,
,,,,,,,Reminders:
,,,,,,,1. Cards must remain in your RM collection to be accepted.
,,,,,,,2. Cards must not be in another active Reignmakers entry to be accepted.
,,,,,,,3. Cards must map to an eligible position to be accepted.
,,,,,,,4. All columns in each row must be filled out for the lineup to be accepted.
,,,,,,,"5. Lineups must meet any contest rarity or other gating requirements (superstar, or series etc)."
,,,,,,,"6. Only contest IDs listed to the right will be accepted."
,,,,,,,"7. The csv will be evaluated from top to bottom, so if a later entry conflicts with an earlier entry, the earlier entry will be entered and the later entry will be rejected."
,,,,,,,8. Cards included in templates are not filtered based on set or other contest attribute requirements.
,,,,,,,"9. For set-restricted contests, double-check that your entries contain only cards from eligible sets."

,,,,,,,All Owned Cards Eligible for a Contest of this Slate,,,,,,,,,,,,,,,,,All Contests of Selected Slate
,,,,,,,Position,Name,Status,Card Year,Event Date,Card Rarity,Card Set,Card Edition,Card Key,Unique ID,Roster Pos,Superstar,Game Info,TeamAbbrev,AvgPointsPerGame,InExistingEntry,,Contest ID,Entry Fee,Contest Name,Game Slate,Rarity Tier,Entries Per User,Prizes,Contest Type,Portfolio Gating Rules,Lineup Gating Rules
,,,,,,,WR,Jordan Addison, ,2023, ,Elite,Rookie Debut,22,a98669ab-edd5-4dfd-a1f5-fa8c3743177a,a98669ab-edd5-4dfd-a1f5-fa8c3743177a+22,WR|WR/TE|FLEX,No,NO @ MIN 11/12 1:00 PM ET,MIN,15.51,No,,153818368,Free,"Classic - CORE $20K GTD Cash [$1K to 1st]",Sun 11/12 1:00 PM ET,Core,150,"$20,000.00",Classic,"","",
,,,,,,,QB,C.J. Stroud, ,2023, ,Core,Rookie Debut,2280,80f03f63-98ad-4968-93c6-18d9887f3bb4,80f03f63-98ad-4968-93c6-18d9887f3bb4+2280,QB,No,HOU @ CIN 11/12 1:00 PM ET,HOU,21.20,No,,153818369,Free,"Classic - CORE $5K Bankroll Booster [Top 1000 win $5]",Sun 11/12 1:00 PM ET,Core,20,"$5,000.00",Classic,"","",
,,,,,,,QB,Will Levis, ,2023, ,Core,Rookie Debut,1281,0ec645d4-2466-477d-b73e-cfaf8ca75a66,0ec645d4-2466-477d-b73e-cfaf8ca75a66+1281,QB,No,TEN @ TB 11/12 1:00 PM ET,TEN,18.15,No,,153818370,Free,"Classic - CORE $5K Single Entry [$500 to 1st]",Sun 11/12 1:00 PM ET,Core,1,"$5,000.00",Classic,"","",
,,,,,,,QB,Will Levis, ,2023, ,Core,Rookie Debut,2055,0ec645d4-2466-477d-b73e-cfaf8ca75a66,0ec645d4-2466-477d-b73e-cfaf8ca75a66+2055,QB,No,TEN @ TB 11/12 1:00 PM ET,TEN,18.15,No,,153818371,Free,"Classic - CORE Prize Pack Party [Top 1000 RARE Packs, Top 8000 Win]",Sun 11/12 1:00 PM ET,Core,100,"7000 Packs",Classic,"","",
,,,,,,,RB,Bijan Robinson, ,2023, ,Core,Rookie Debut,2469,a8ff41dc-1540-4f34-8578-42937aec0b02,a8ff41dc-1540-4f34-8578-42937aec0b02+2469,RB|FLEX,No,ATL @ ARI 11/12 4:05 PM ET,ATL,13.49,No,,153869508,Free,"Classic - CORE Featured Player [Keenan Allen RARE to Top 5]",Sun 11/12 1:00 PM ET,Core,20,"250 Packs",Classic,"","",
,,,,,,,RB,Jahmyr Gibbs, ,2023, ,Core,Rookie Debut,281,826c9069-955e-420f-8f82-39be60daef69,826c9069-955e-420f-8f82-39be60daef69+281,RB|FLEX,No,DET @ LAC 11/12 4:05 PM ET,DET,16.57,No,,153818372,Free,"Classic - RARE $75K GTD Cash [$10K to 1st]",Sun 11/12 1:00 PM ET,Rare,150,"$75,000.00",Classic,"","",
,,,,,,,QB,Jake Haener, ,2023, ,Core,Rookie Debut,1926,501b9564-34e3-4365-9c25-f100cd5654fe,501b9564-34e3-4365-9c25-f100cd5654fe+1926,QB,No,NO @ MIN 11/12 1:00 PM ET,NO,0.00,No,,153818373,Free,"Classic - RARE $10K Bankroll Booster [Top 500 win $20]",Sun 11/12 1:00 PM ET,Rare,20,"$10,000.00",Classic,"","",
,,,,,,,RB,Zach Charbonnet, ,2023, ,Core,Rookie Debut,1310,4a412178-6b6e-4669-a921-7e2ccdaeef70,4a412178-6b6e-4669-a921-7e2ccdaeef70+1310,RB|FLEX,No,WAS @ SEA 11/12 4:25 PM ET,SEA,4.46,No,,153818374,Free,"Classic - RARE $5K Single Entry [$500 to 1st]",Sun 11/12 1:00 PM ET,Rare,1,"$5,000.00",Classic,"","",
,,,,,,,RB,Zach Charbonnet, ,2023, ,Core,Rookie Debut,2251,4a412178-6b6e-4669-a921-7e2ccdaeef70,4a412178-6b6e-4669-a921-7e2ccdaeef70+2251,RB|FLEX,No,WAS @ SEA 11/12 4:25 PM ET,SEA,4.46,No,,153818375,Free,"Classic - RARE Prize Pack Party [Top 55 ELITE Packs, Top 2055 Win]",Sun 11/12 1:00 PM ET,Rare,100,"1000 Packs",Classic,"","",
