Contest_ID,CPT,FLEX,FLEX,FLEX,,Sport: Football
,,,,,,Contest Type: Showdown
,,,,,,Game Slate: Sun 11/12 8:20 PM ET (1 Event)

,,,,,,Instructions:
,,,,,,SCROLL RIGHT FOR YOUR CONTEST ID LIST
,,,,,,1. Create lineups by filling out the Contest_ID and position columns to the left.
,,,,,,2. Each row represents a single entry.
,,,,,,"3. To build an entry, select the Contest ID for the contest you would like to enter (provided to the right) and place it in the Contest_ID column."
,,,,,,4. Complete the entry by placing the unique ID for each card (provided below) into a corresponding position column.
,,,,,,5. Export this file as a CSV and re-upload it into Reignmakers at: https://www.draftkings.com/nftgames/bulkentry/upload
,,,,,,
,,,,,,Reminders:
,,,,,,1. Cards must remain in your RM collection to be accepted.
,,,,,,2. Cards must not be in another active Reignmakers entry to be accepted.
,,,,,,3. Cards must map to an eligible position to be accepted.
,,,,,,4. All columns in each row must be filled out for the lineup to be accepted.
,,,,,,"5. Lineups must meet any contest rarity or other gating requirements (superstar, or series etc)."
,,,,,,"6. Only contest IDs listed to the right will be accepted."
,,,,,,"7. The csv will be evaluated from top to bottom, so if a later entry conflicts with an earlier entry, the earlier entry will be entered and the later entry will be rejected."
,,,,,,8. Cards included in templates are not filtered based on set or other contest attribute requirements.
,,,,,,"9. For set-restricted contests, double-check that your entries contain only cards from eligible sets."

,,,,,,All Owned Cards Eligible for a Contest of this Slate,,,,,,,,,,,,,,,,,All Contests of Selected Slate
,,,,,,Position,Name,Status,Card Year,Event Date,Card Rarity,Card Set,Card Edition,Card Key,Unique ID,Roster Pos,Superstar,Game Info,TeamAbbrev,AvgPointsPerGame,InExistingEntry,,Contest ID,Entry Fee,Contest Name,Game Slate,Rarity Tier,Entries Per User,Prizes,Contest Type,Portfolio Gating Rules,Lineup Gating Rules
,,,,,,QB,Brian Hoyer,Q,2023, ,Core,Play-Action,74,8fc42e2a-d1ba-4a07-8ae4-4c258b741e48,8fc42e2a-d1ba-4a07-8ae4-4c258b741e48+74,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,2.31,No,,153818404,Free,"Showdown - CORE $10K GTD Cash [$1K to 1st] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Core,150,"$10,000.00",Showdown,"","",
,,,,,,QB,Jimmy Garoppolo, ,2023, ,Core,Play-Action,125,a9cc9fc2-5b53-4bba-b1a5-90be9747ae98,a9cc9fc2-5b53-4bba-b1a5-90be9747ae98+125,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,12.68,No,,153818405,Free,"Showdown - CORE Prize Pack Party [Top 300 RARE Packs, Top 1500 Win] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Core,100,"1200 Packs",Showdown,"","",
,,,,,,TE,Tyler Conklin, ,2023, ,Core,Play-Action,45,9a73f3df-2ddb-4493-8b61-25cebd12733e,9a73f3df-2ddb-4493-8b61-25cebd12733e+45,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,NYJ,6.91,No,,153818406,Free,"Showdown - CORE $15 DFS FF Millionaire Satellite [Top 100 Win Ticket!] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Core,20,"100 Tickets",Showdown,"","",
,,,,,,TE,Tyler Conklin, ,2023, ,Core,Play-Action,488,9a73f3df-2ddb-4493-8b61-25cebd12733e,9a73f3df-2ddb-4493-8b61-25cebd12733e+488,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,NYJ,6.91,No,,153818407,Free,"Showdown - RARE $15K GTD Cash [$2K to 1st] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Rare,150,"$15,000.00",Showdown,"","",
,,,,,,TE,Tyler Conklin, ,2023, ,Core,Play-Action,1783,9a73f3df-2ddb-4493-8b61-25cebd12733e,9a73f3df-2ddb-4493-8b61-25cebd12733e+1783,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,NYJ,6.91,No,,153818408,Free,"Showdown - RARE Prize Pack Party [Top 15 ELITE Packs, Top 415 Win] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Rare,100,"200 Packs",Showdown,"","",
,,,,,,WR,Hunter Renfrow, ,2023, ,Core,Play-Action,719,e58faa20-6ef6-4b98-9de7-29e8ebd36fd2,e58faa20-6ef6-4b98-9de7-29e8ebd36fd2+719,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,2.71,No,,153818409,Free,"Showdown - RARE $20 DFS FF Millionaire Satellite [Top 100 Win Ticket!] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Rare,20,"100 Tickets",Showdown,"","",
,,,,,,TE,Austin Hooper,Q,2023, ,Core,Play-Action,125,82d3cb39-6c91-48c9-8235-eda4c95978d6,82d3cb39-6c91-48c9-8235-eda4c95978d6+125,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,2.87,No,,153818410,Free,"Showdown - ELITE $20K GTD Cash [$5K to 1st] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Elite,150,"$20,000.00",Showdown,"","",
,,,,,,TE,Austin Hooper,Q,2023, ,Core,Play-Action,1808,82d3cb39-6c91-48c9-8235-eda4c95978d6,82d3cb39-6c91-48c9-8235-eda4c95978d6+1808,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,2.87,No,,153818411,Free,"Showdown - ELITE Prize Pack Party [Top 2 LEGENDARY Packs, Top 92 Win] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Elite,100,"80 Packs",Showdown,"","",
,,,,,,TE,Michael Mayer, ,2023, ,Core,Play-Action,1244,3c88240b-898c-468d-8f4e-1c5a6a268c1a,3c88240b-898c-468d-8f4e-1c5a6a268c1a+1244,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,3.43,No,,153818412,Free,"Showdown - LEGENDARY $20K GTD Cash [$5K to 1st] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Legendary,150,"$20,000.00",Showdown,"","",
,,,,,,K,Daniel Carlson, ,2023, ,Core,Play-Action,229,14ee91e2-b975-4456-8987-2a4e9043d682,14ee91e2-b975-4456-8987-2a4e9043d682+229,FLEX|CPT,No,NYJ @ LV 11/12 8:20 PM ET,LV,6.67,No,,153818413,Free,"Showdown - LEGENDARY Prize Pack Party [REIGNMAKER Pack to 1st, Top 18 Win] (NYJ vs LV)",Sun 11/12 8:20 PM ET,Legendary,100,"12 Packs",Showdown,"","",
